2023-10-16/18:38:42		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:42		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:42		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:43		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:43		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:43		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:43		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:44		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:44		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:44		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:45		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:45		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:45		 wafer_23012020_041211.csv: File loaded successfully!!
2023-10-16/18:38:45		 wafer_23012020_041211.csv: File loaded successfully!!
